id,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id
2,Jaylen,Adams,G,6.0,2.0,190.0,17
3,Steven,Adams,C,7.0,0.0,265.0,21
4,Bam,Adebayo,C-F,6.0,10.0,255.0,16
5,DeVaughn,Akoon-Purcell,G-F,6.084210526315790,6.008421052631580,217.83157894736800,21
6,LaMarcus,Aldridge,F,6.0,11.0,260.0,27
7,Rawle,Alkins,G,6.0,5.0,225.0,5
8,Grayson,Allen,G,6.0,5.0,198.0,15
9,Jarrett,Allen,C,6.0,11.0,237.0,3
10,Al-Farouq,Aminu,F,6.0,9.0,220.0,22
11,Justin,Anderson,G-F,6.0,6.0,230.0,3
12,Kyle,Anderson,F,6.0,9.0,230.0,15
13,Ryan,Anderson,F,6.0,10.0,240.0,11
15,Giannis,Antetokounmpo,F,6.0,11.0,242.0,17
16,Kostas,Antetokounmpo,F,6.0,10.0,200.0,14
17,Carmelo,Anthony,F,6.084210526315790,6.008421052631580,217.83157894736800,25
18,OG,Anunoby,F,6.0,8.0,232.0,28
19,Ryan,Arcidiacono,G,6.0,3.0,200.0,5
20,Trevor,Ariza,F,6.0,8.0,215.0,25
21,D.J.,Augustin,G,6.0,0.0,183.0,22
22,Deandre,Ayton,C,7.0,1.0,250.0,24
23,Dwayne,Bacon,G-F,6.0,7.0,221.0,4
24,Marvin,Bagley III,F,6.0,11.0,234.0,26
26,Wade,Baldwin IV,G,6.0,4.0,200.0,11
27,Lonzo,Ball,G,6.0,6.0,190.0,19
28,Mo,Bamba,C,7.0,0.0,221.0,22
29,J.J.,Barea,G,6.0,0.0,185.0,7
30,Harrison,Barnes,F,6.0,8.0,225.0,26
31,Will,Barton,G,6.0,6.0,190.0,8
32,Keita,Bates-Diop,F,6.0,9.0,229.0,8
33,Nicolas,Batum,F-G,6.0,8.0,200.0,4
34,Jerryd,Bayless,G,6.0,3.0,200.0,18
35,Aron,Baynes,C-F,6.0,10.0,260.0,24
36,Kent,Bazemore,G,6.0,5.0,201.0,26
37,Bradley,Beal,G,6.0,5.0,207.0,30
38,Malik,Beasley,G,6.0,5.0,195.0,18
39,Michael,Beasley,F,6.0,9.0,235.0,13
40,Marco,Belinelli,G-F,6.0,5.0,210.0,27
41,Jordan,Bell,F,6.0,9.0,224.0,15
42,DeAndre',Bembry,F,6.0,6.0,210.0,1
43,Dragan,Bender,F,7.0,1.0,225.0,17
44,Davis,Bertans,F,6.0,10.0,225.0,30
45,Patrick,Beverley,G,6.0,1.0,185.0,13
46,Khem,Birch,C,6.0,9.0,233.0,22
48,Bismack,Biyombo,C,6.0,9.0,255.0,4
49,Nemanja,Bjelica,F,6.0,10.0,234.0,26
50,Antonio,Blakeney,G,6.0,4.0,192.0,5
51,Eric,Bledsoe,G,6.0,1.0,205.0,17
53,Bogdan,Bogdanovic,G,6.0,6.0,205.0,26
54,Bojan,Bogdanovic,F,6.0,8.0,216.0,29
55,Jonah,Bolden,F,6.0,10.0,220.0,24
56,Isaac,Bonga,G,6.0,8.0,180.0,30
57,Devin,Booker,G,6.0,6.0,210.0,24
58,Chris,Boucher,F,6.0,10.0,200.0,28
59,Avery,Bradley,G,6.0,2.0,180.0,14
60,Tony,Bradley,C,6.0,10.0,248.0,29