coach_id,first_name,last_name,Team_id
1,Floyd,Pierce,1
2,Brad,Stevens,2
3,Kenny,Atkinson,3
4,James,Borrego,4
5,Jim,Boylen,5
6,John,Beilein,6
7,Rick,Carlisle,7
8,Mike,Malone,8
9,Dwane,Casey,9
10,Steve,Kerr,10
11,Mike,Dâ€™Antoni,11
12,Nate,Mcmillan,12
13,Doc,Rivers,13
14,Frank,Vogel,14
15,Taylor,Jenkins,15
16,Erik,Spoelstra,16
17,Mike,Budenholzer,17
18,Ryan,Saunders,18
19,Alvin,Gentry,19
20,David,Fizdale,20
21,Billy,Donovan,21
22,Steve,Clifford,22
23,Brett,Brown,23
24,Monty,Williams,24
25,Terry,Scotts,25
26,Luke,Walton,26
27,Gregg,Popovick,27
28,Nick,Nurse,28
29,Quin,Snyder,29
30,Scott,Brooks,30